smiles NumRings NumAromaticCarbocycles NumAromaticRings NumAliphaticRings NumAromaticHeterocycles NumHeteroatoms NumSaturatedHeterocycles NumSaturatedCarbocycles NumSaturatedRings NOCount
COC1(c2ccc(-c3ccccc3)cc2)CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(N[C@H](CCN(C)C)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1 6 5 5 1 0 13 1 0 1 11
O=C(O)c1cc(-n2cnnc2)ccc1Cl 2 1 2 0 1 6 0 0 0 5
CNc1nc(NCc2ccc(NC(=O)c3ccc(F)cc3)cc2)c2ccccc2n1 4 3 4 0 1 7 0 0 0 6
CCCC[C@]1(C(=O)N[C@@H](Cc2ccc(-c3c(OC)cccc3OC)cc2)C(=O)O)CCCO1 3 2 2 1 0 7 1 0 1 7
NC(=O)c1ccsc1NC(=O)c1cccs1 2 0 2 0 2 6 0 0 0 4
O=c1[nH]c(=O)c2nc3ccccc3nc2[nH]1 3 1 3 0 2 6 0 0 0 6
CN1C(=O)C(Cc2ccc(Cl)cc2)=C(c2c[nH]c3cc(Cl)ccc23)[C@@]1(O)Cc1ccc(Cl)cc1 5 3 4 1 1 7 0 0 0 4
CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(C)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)O 2 1 2 0 1 26 0 0 0 26
O=c1[nH]nc(SCc2ccccc2)c(=O)[nH]1 2 1 2 0 1 6 0 0 0 5
COc1ccc2c(c1CC=C(C)C)OC(=O)CC2 2 1 1 1 0 3 0 0 0 3
NCCC1(C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cccc3Cl)cc2)C(=O)O)CCCC1 3 2 2 1 0 9 0 1 1 7
O=C(O)C[C@H](NC(=O)CNC(=O)c1cc(O)cc(NC2=NCC(O)CN2)c1)c1cc(Br)cc(Cl)c1O 3 2 2 1 0 14 0 0 0 12
COCCCn1c(CSc2nc(C)cc(C)n2)nnc1SCC(=O)Nc1ccc(C)c(C)c1 3 1 3 0 2 10 0 0 0 8
COc1cccc(OC)c1-c1ccc(CC(Nc2ccc(C(F)(F)F)cn2)C(=O)O)cc1 3 2 3 0 1 9 0 0 0 6
CCOc1ccc(NS(=O)(=O)N2CCCCC2)cc1 2 1 1 1 0 6 1 0 1 5
CC(CC1C(=O)N(C)C(=O)N(C)C1=O)C1NCCc2c1[nH]c1ccccc21 4 1 2 2 1 7 1 0 1 7
CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3ccc(F)cc3C3CC3)C(=O)O)cc2)n1 4 2 3 1 1 8 0 1 1 7
O=C(O)CCC(=O)N1CCc2cc(S(=O)(=O)N3CCN(c4ccc(F)cc4)CC3)ccc21 4 2 2 2 0 10 1 0 1 8
CC[C@H](NC(=O)[C@H](C)NC)C(=O)N1C[C@@H](O)C[C@H]1Cc1c(-c2[nH]c3cc(F)ccc3c2C[C@@H]2C[C@H](O)CN2C(=O)[C@H](CC)NC(=O)[C@H](C)NC)[nH]c2cc(F)ccc12 6 2 4 2 2 16 2 0 2 14
